scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
proxy_break_reverse_noisyx1_expanding,119,rf,119,0.1,2.7942781740883955,1.7193411352601526,1.7099448356391942,0.546505834604876,0.2014783874749864,2,True,False,False,True,True,-0.07732945672537239,0.624916,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,120,ols,119,0.01,1.9298138569262184,1.7804069611443016,1.4196424556338814,20.263036113864104,0.42519899943845446,2,True,True,False,True,True,0.34531082306633265,0.391096,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,120,enet,119,0.01,1.9298138569262184,1.7790476820644852,1.4187460811715156,20.25249826215224,0.42056976771517457,2,True,True,False,True,True,0.34557051220188406,0.379976,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,120,rf,119,0.01,1.9298138569262184,1.7430915870907437,1.5085643446375316,13.454671239888373,0.2850007460678552,2,True,True,False,True,True,0.2736345430204634,0.380046,,,,1,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,121,ols,119,0.0001,1.4425394760299293,1.4744307385772288,1.1885086609575315,19.39203179496933,0.3009051360843316,2,True,True,False,False,True,-0.164960120303002,0.634934,2.0,1.0,1.0,1,1,,,
proxy_break_reverse_noisyx1_expanding,121,enet,119,0.0001,1.4425394760299293,1.47428044751521,1.1884815947377385,19.385650352968067,0.30080500615542843,2,True,True,False,False,True,-0.16481148803872347,0.635584,,,1.0,1,1,1.0,,
proxy_break_reverse_noisyx1_expanding,121,rf,119,0.0001,1.4425394760299293,1.3933267000856602,1.2562917605196908,9.835090331473918,0.10851422777090301,2,True,False,False,True,True,-0.24070253998635938,0.682312,,,,1,1,,1.0,1.0
proxy_break_reverse_noisyx1_expanding,122,ols,119,0.1,2.8363252012612894,1.7406977675994069,1.5342633257854623,11.859292615664,0.19064517173784665,3,False,False,False,True,True,0.7204385647246296,0.21816,3.0,3.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,122,enet,119,0.1,2.8363252012612894,1.7874414562983416,1.5957092378027162,10.726629273368681,0.16776622513177608,2,True,True,False,True,True,0.714060718783271,0.234473,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,122,rf,119,0.1,2.8363252012612894,1.617988556817612,1.7422437438232192,-7.679608516515232,-0.04335849057175875,2,False,False,False,True,False,0.7188623512144845,0.166026,,,,2,2,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,123,ols,119,0.01,2.427572562232251,1.7505596979709068,1.3292427186873836,24.067558494113417,0.3556227890152526,2,True,True,False,True,True,0.17405216801520929,0.491848,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,123,enet,119,0.01,2.427572562232251,1.7499221778381249,1.3323344956023662,23.863214463151248,0.35120098061805016,2,True,True,False,True,True,0.17736371368051673,0.500019,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,123,rf,119,0.01,2.427572562232251,1.527366739906102,1.4828891563373743,2.9120434802359267,0.04125663433522316,2,True,False,False,True,True,0.4928579788639349,0.354144,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,124,ols,119,0.1,1.9379842401545047,1.284410350955186,1.1204424428938242,12.766006435515155,0.31054794515665113,2,True,True,False,True,True,0.5485114564237774,0.353673,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,124,enet,119,0.1,1.9379842401545047,1.2933433426406025,1.0899866267098435,15.72333573199273,0.2941818149293322,2,True,True,False,True,True,0.20928229045023616,0.493818,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,124,rf,119,0.1,1.9379842401545047,1.3356133585865642,1.2692587778102458,4.968098016520235,0.18408341574122708,2,True,False,False,True,True,0.5435824992575173,0.333902,,,,2,2,,2.0,2.0
