scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
proxy_break_reverse_noisyx1_expanding,112,enet,x3,noise,0.003503047399786674,0.0035030473997866886,0.0036622905574961056,0.0013729657064282894,0.0016486160166811065,0.0013348326994101257,1.763774870505532,1.9392441494524633,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,112,enet,x4,noise,-0.03629423373262289,-0.03629423373262294,-0.0322980812423774,-0.014591994150164178,-0.015801876731986728,-0.012208716271272443,1.763774870505532,1.9392441494524633,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,112,rf,x1,signal,-0.6512628765382811,-0.651262876538281,-0.6328965240741492,-0.30859999656836545,-0.3093516570519755,-0.24526764446533275,1.7661968162305874,1.9378523422771972,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,112,rf,x2,trap,-0.4554340721227346,-0.4554340721227345,0.09578209093777446,-0.2258302305951978,-0.22121146520285007,0.035610970054129366,1.7661968162305874,1.9378523422771972,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,112,rf,x3,noise,-0.018206678325267584,-0.01820667832526753,0.003831733730709571,-0.012907800740866485,-0.012151278219679302,0.0015148195796125922,1.7661968162305874,1.9378523422771972,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,112,rf,x4,noise,-0.10252723618542137,-0.10252723618542138,-0.03436540230578023,-0.049379681916458834,-0.05226219650190695,-0.013368560138401472,1.7661968162305874,1.9378523422771972,5,24,48,10.1,13.9
proxy_break_reverse_noisyx1_expanding,113,ols,x1,signal,-0.4385756147001219,-0.4385756147001217,-0.9497755038913507,-0.19386861867090036,-0.2007694281240648,-0.3453344362111898,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,ols,x2,trap,-0.18183346024730856,-0.1818334602473084,0.3941305001242877,-0.09383888334166778,-0.08228436347007662,0.14218679216407515,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,ols,x3,noise,-0.011202122982481407,-0.011202122982481431,0.00710126173471227,-0.0050295619094270615,-0.005172138728565807,0.0024969433370651017,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,ols,x4,noise,0.0028306490501144206,0.002830649050114488,0.02319764459015054,0.0013985118570800635,0.0012291082158663463,0.008660757357904702,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,enet,x1,signal,-0.4399298885778603,-0.43992988857786025,-0.9434500936800033,-0.19455154305011418,-0.20142351439442027,-0.34322995367803594,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,enet,x2,trap,-0.18115402795951638,-0.18115402795951643,0.38703123955959845,-0.09351411011747071,-0.08199844398508094,0.1397287128752556,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,enet,x3,noise,-0.010466578232402919,-0.010466578232402825,0.006548002358617387,-0.0046914905537176095,-0.0048314692120040815,0.002314446940339538,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,enet,x4,noise,0.0018979829396302884,0.001897982939630366,0.021950926882727345,0.0009137393183839153,0.0007985075766213124,0.008184854979595762,1.534989760594037,2.14375112061846,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,rf,x1,signal,-0.6294573322413235,-0.6294573322413234,-0.9186037351163091,-0.3034176868151025,-0.315990553166909,-0.3425672700245119,1.5353881992011997,2.1400117367877645,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,rf,x2,trap,-0.31218388459860635,-0.31218388459860624,0.09407648769328607,-0.1728440599168815,-0.16290396321758158,0.026412085943424327,1.5353881992011997,2.1400117367877645,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,rf,x3,noise,-0.05559019784188379,-0.05559019784188374,-0.000171695277675366,-0.031047920022267812,-0.030371544790487325,0.00022015165566311815,1.5353881992011997,2.1400117367877645,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,113,rf,x4,noise,-0.03685070823657709,-0.036850708236577136,0.0037565896715935445,-0.022861875161410677,-0.021812048439806275,0.0015645962121154076,1.5353881992011997,2.1400117367877645,5,24,48,10.4,13.7
proxy_break_reverse_noisyx1_expanding,114,ols,x1,signal,-0.35625742068004823,-0.35625742068004823,-0.9504688744603538,-0.1401601903071247,-0.15031068710473935,-0.3270791804287741,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,ols,x2,trap,-0.22516100779871132,-0.22516100779871126,0.5586505515312147,-0.0987158466220516,-0.09366363010163309,0.19051340460895502,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,ols,x3,noise,-0.0007057781774705677,-0.0007057781774705493,0.010192603675030379,-0.00036163857684452864,-0.00033905838424325613,0.003549818513820547,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,ols,x4,noise,0.0031375080756464216,0.0031375080756464494,0.003906169545758488,0.002146964912232002,0.0012324162600933775,0.0013821414600966818,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,enet,x1,signal,-0.3723773477745612,-0.37237734777456116,-0.8881786867159421,-0.14729794807761395,-0.15761407672580172,-0.3073192393481876,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,enet,x2,trap,-0.22228246746412728,-0.2222824674641272,0.4915832449156403,-0.09880071107096065,-0.0928590151651363,0.16878817939050958,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,enet,x3,noise,-9.251858538542972e-18,0.0,0.0004282160974867129,-4.625929269271486e-18,0.0,0.00014598828574387732,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,enet,x4,noise,-0.0007935349331752101,-0.0007935349331751421,0.0003613871461415341,-0.0002775649750724712,-0.0003348450972468035,0.00012919151101624857,1.7225889365789981,2.2516590395688523,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,rf,x1,signal,-0.5127439631577206,-0.5127439631577205,-0.9314234327289355,-0.22542458727401726,-0.23588989293148552,-0.3207444929838912,1.722356150881226,2.253101404352897,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,rf,x2,trap,-0.43339588285763575,-0.4333958828576356,0.46611633428786164,-0.21083806976441935,-0.2014940874597387,0.15712491963787953,1.722356150881226,2.253101404352897,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,rf,x3,noise,-0.055464455438338056,-0.055464455438338056,0.02614748351339267,-0.02857987072065321,-0.02906837242785079,0.009267839416346785,1.722356150881226,2.253101404352897,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,114,rf,x4,noise,-0.0388198060054112,-0.03881980600541112,0.009171886917881072,-0.020763883875059543,-0.020141551136042272,0.003545556886370827,1.722356150881226,2.253101404352897,5,24,48,10.4,13.3
proxy_break_reverse_noisyx1_expanding,115,ols,x1,signal,-0.3045080338012582,-0.30450803380125824,-0.6569461975883429,-0.13420959102804364,-0.13497381948653991,-0.26749663087239794,1.5953587792293493,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,ols,x2,trap,-0.2787595330329452,-0.2787595330329451,0.2824272670273466,-0.11995573202269387,-0.12328358678898377,0.11293400235218987,1.5953587792293493,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,ols,x3,noise,-0.022050999839624153,-0.0220509998396242,0.009490042709121523,-0.009229679069422968,-0.009894687830273323,0.004112026775567888,1.5953587792293493,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,ols,x4,noise,-0.0009807774635782337,-0.0009807774635781977,0.0072623269267469105,-0.0006190259138964869,-0.0004083608553969627,0.0029395715768952718,1.5953587792293493,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,enet,x1,signal,-0.30913895554376747,-0.3091389555437676,-0.6214816383418529,-0.13566098979471497,-0.13643767533360515,-0.2542530620041617,1.5953587792293495,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,enet,x2,trap,-0.2630493179916744,-0.26304931799167436,0.249724316218225,-0.11243154832685276,-0.1157506301774089,0.10064268232621028,1.5953587792293495,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,enet,x3,noise,-0.012402217988598252,-0.012402217988598164,0.003984265578689941,-0.0051205899613236665,-0.005517095721445274,0.0016982533837354846,1.5953587792293495,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,enet,x4,noise,5.319818659662209e-18,0.0,1.3411578821007538e-05,0.0,0.0,5.533152868456015e-06,1.5953587792293495,1.6549094344430486,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,rf,x1,signal,-0.4217997710694771,-0.421799771069477,-0.5150241059399274,-0.2031740099401917,-0.2033554842086969,-0.20883823014297323,1.595536105951696,1.6532225653308417,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,rf,x2,trap,-0.4513410788982912,-0.4513410788982912,0.1907272204971917,-0.21421230748116776,-0.2185143435807145,0.07581137576541708,1.595536105951696,1.6532225653308417,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,rf,x3,noise,-0.08732473210698441,-0.0873247321069844,0.012581909488017377,-0.04543659201222454,-0.04611704463522711,0.005559736406406071,1.595536105951696,1.6532225653308417,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,115,rf,x4,noise,-0.02327547254431801,-0.023275472544317995,0.011893947951887538,-0.013036269726046453,-0.012985162874899092,0.005047961690527361,1.595536105951696,1.6532225653308417,5,24,48,10.7,13.5
proxy_break_reverse_noisyx1_expanding,116,ols,x1,signal,-0.2791907522862599,-0.27919075228625984,-1.1338402585702236,-0.10342872084965224,-0.11022136951878818,-0.39119068476619906,1.8839324353713611,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,ols,x2,trap,-0.23197691632291023,-0.23197691632291026,0.3739817440502837,-0.09684802652420754,-0.09141929595473587,0.12702709365482487,1.8839324353713611,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,ols,x3,noise,-0.01168268536989505,-0.011682685369894913,0.03084964360264163,-0.004890950495611229,-0.004541931723798788,0.010623729099448894,1.8839324353713611,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,ols,x4,noise,-0.008627599924886454,-0.008627599924886563,-0.0001993774209133048,-0.003306744834755056,-0.003430820557174886,9.658003746445635e-06,1.8839324353713611,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,enet,x1,signal,-0.28180054073511107,-0.2818005407351112,-1.1275198347590365,-0.10449824900934794,-0.11124815061019573,-0.38927618417290316,1.883932435371361,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,enet,x2,trap,-0.22940187110149712,-0.22940187110149704,0.3677780689079584,-0.09573612644743026,-0.09038473757180253,0.12506135665910453,1.883932435371361,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,enet,x3,noise,-0.010973750126133278,-0.010973750126133353,0.02798937718373386,-0.004578589547992997,-0.004270061501554852,0.009631329673372503,1.883932435371361,2.4488316465868145,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,enet,x4,noise,-0.008827010755865717,-0.00882701075586548,-0.0003379844263531144,-0.0033984425252179783,-0.0035063581727262047,-4.608708244259694e-05,1.883932435371361,2.4488316465868145,5,24,48,10.7,13.4
