horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing
6,nonlin_comb,Nonlinear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.24211077196086395,0.875544,4715.586776859504,6222.0,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0
6,all_comb,All models combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.27030717448881736,0.796285,4540.148760330579,6222.0,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0
12,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.4153058595067888,0.143571,3637.96694214876,6222.0,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0
12,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.06743812582656339,0.992303,2499.26582278481,2680.0,0.6666666666666666,1000000,20260602,79,38.0,41.0,1,42,0
12,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.815403088481023,0.0,1148.5619834710744,6222.0,0.6666666666666666,1000000,20260602,121,96.0,25.0,1,0,0
12,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.21365137302719495,0.930441,4892.661157024793,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
12,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.34851805510173184,0.442242,4053.5206611570247,6222.0,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0
12,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3879356376068921,0.25027,3808.2644628099174,6222.0,0.6666666666666666,1000000,20260602,121,70.0,51.0,1,0,0
12,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.49914061275506005,0.009358,3116.3471074380163,6222.0,0.6666666666666666,1000000,20260602,121,78.0,43.0,1,0,0
12,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.5140437424122881,0.004711,3023.619834710744,6222.0,0.6666666666666666,1000000,20260602,121,77.0,44.0,1,0,0
12,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9563067335049451,0.0,106.61157024793388,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9806231742940603,0.0,20.151898734177216,1040.0,0.6666666666666666,1000000,20260602,79,,,1,42,0
12,rf_cv,RF,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9880097547757757,0.0,29.25619834710744,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,xgb_cv,XGBoost,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9808088334913968,0.0,46.82644628099174,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,nn_comb,Neural net,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9499932258501558,0.0,122.01652892561984,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
