scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
persistent_rho099_rolling20,120,enet,399,0.1,2.107131669497615,1.4820647467430386,1.386327817665883,6.459699502841923,0.08680607343539887,2,False,False,False,True,True,0.07856248588085857,0.490237,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,120,rf,399,0.1,2.107131669497615,1.5653275465829632,1.5346673336549244,1.9587090890317937,0.023055239797201397,2,False,False,False,True,True,0.24454154731313293,0.488894,,,,4,4,,4.0,2.0
persistent_rho099_rolling20,121,ols,399,0.1,2.0921713128290125,1.5252215813866103,1.289763089875917,15.4376580022316,0.21491658757945908,2,False,False,False,True,True,-0.047279038765360326,0.594278,3.0,3.0,1.0,2,2,,,
persistent_rho099_rolling20,121,enet,399,0.1,2.0921713128290125,1.3829812010016638,1.249355423382478,9.662154302777472,0.12433651423581538,2,True,False,False,True,True,0.03460433659600615,0.531636,,,1.0,2,2,2.0,,
persistent_rho099_rolling20,121,rf,399,0.1,2.0921713128290125,1.4807320058078814,1.4203770899045318,4.076018865440828,0.031079285075184346,2,False,False,False,True,True,0.8122642155672801,0.090982,,,,3,3,,3.0,1.0
persistent_rho099_rolling20,122,ols,399,0.1,2.0490272981964277,1.4803840832642758,1.3631605540681888,7.918453766241991,0.09826004386782702,2,False,False,False,True,True,0.11002726859973966,0.489054,3.0,3.0,2.0,2,2,,,
persistent_rho099_rolling20,122,enet,399,0.1,2.0490272981964277,1.342970462566195,1.2858513311454673,4.253193425533896,0.052760932026976244,2,True,False,False,True,True,0.1828839421113979,0.499302,,,1.0,2,2,2.0,,
persistent_rho099_rolling20,122,rf,399,0.1,2.0490272981964277,1.4847728840138603,1.483752218273925,0.06874221309700956,0.0008407707270772586,2,False,False,False,True,True,0.36329456174224517,0.445462,,,,4,3,,3.0,2.0
persistent_rho099_rolling20,123,ols,399,0.1,2.0553880348252243,1.3380008992445915,1.2279124468406322,8.227830972767888,0.11780186426129631,2,False,False,False,True,True,0.0720359150779113,0.480496,3.0,3.0,2.0,3,3,,,
persistent_rho099_rolling20,123,enet,399,0.1,2.0553880348252243,1.2359099432979186,1.1737573528478165,5.028893147687875,0.05780394013458597,2,False,False,False,True,True,0.2163667917617771,0.459447,,,2.0,3,3,3.0,,
persistent_rho099_rolling20,123,rf,399,0.1,2.0553880348252243,1.429381764044591,1.3685170003367235,4.258118106645209,0.016834297890700706,2,False,False,False,True,True,0.3041870484439272,0.468865,,,,4,4,,4.0,2.0
persistent_rho099_rolling20,124,ols,399,0.1,2.095199019082667,1.3401369590233392,1.182321280942534,11.776085796172469,0.18387558184938374,2,False,False,False,True,True,0.097722932743608,0.490843,4.0,3.0,2.0,4,4,,,
persistent_rho099_rolling20,124,enet,399,0.1,2.095199019082667,1.2067360928284387,1.1239430244921196,6.860909259974362,0.09019761803055439,2,False,False,False,True,True,0.1978727623445934,0.493057,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,124,rf,399,0.1,2.095199019082667,1.396123184125379,1.3580305977811333,2.7284545359161307,0.0055969850359121,3,False,False,False,True,True,0.7219481148672462,0.166575,,,,3,3,,3.0,2.0
