scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
persistent_rho099_rolling20,114,enet,x4,noise,-0.02934373577369989,-0.029343735773699944,0.05695115831207458,-0.015205344761993122,-0.015673756087090474,0.022975708691161,1.4559976834487867,1.912322697280483,10,24,48,26.5,15.8
persistent_rho099_rolling20,114,rf,x1,signal,-0.8255938610429927,-0.8255938610429928,-0.6095275666807439,-0.42310877120795054,-0.4325374106162707,-0.23773056771005394,1.4567895910257858,1.9094092899052617,10,24,48,26.5,15.8
persistent_rho099_rolling20,114,rf,x2,trap,-0.05857463146368671,-0.05857463146368672,0.0023955476316354037,-0.034548093846314895,-0.031674847399835594,0.0009723203906437106,1.4567895910257858,1.9094092899052617,10,24,48,26.5,15.8
persistent_rho099_rolling20,114,rf,x3,noise,-0.05287991563958207,-0.052879915639582116,0.08097947399781578,-0.029585660296273342,-0.028723353474188435,0.031700712253493114,1.4567895910257858,1.9094092899052617,10,24,48,26.5,15.8
persistent_rho099_rolling20,114,rf,x4,noise,-0.04185550461586541,-0.04185550461586542,0.021200781038890105,-0.024776911256984828,-0.022747019355350936,0.008341875025335371,1.4567895910257858,1.9094092899052617,10,24,48,26.5,15.8
persistent_rho099_rolling20,115,ols,x1,signal,-0.7895637832556168,-0.7895637832556167,-0.8189212542172561,-0.36003676463140477,-0.3717932638065649,-0.30905021618153394,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,ols,x2,trap,-0.030228464569704,-0.030228464569704,0.26538548431938125,-0.02074014472351365,-0.019016131736385715,0.09824759078198997,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,ols,x3,noise,-0.034659881930692485,-0.034659881930692554,0.0951952058848,-0.02761201410891656,-0.020728818681407326,0.03672316478708809,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,ols,x4,noise,-0.06942452393668909,-0.06942452393668903,0.06132481738925847,-0.03593394304167041,-0.03365456484547367,0.02371218646286695,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,enet,x1,signal,-0.7861755801226937,-0.7861755801226936,-0.8163485681399462,-0.3593646436324443,-0.3708303670713571,-0.30955635357952527,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,enet,x2,trap,-0.03185685472858934,-0.03185685472858926,0.24481012784278733,-0.021214464547392585,-0.019406369832751257,0.09106427360618895,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,enet,x3,noise,-0.036426183901249506,-0.036426183901249604,0.08944942696956559,-0.027767609375825047,-0.021247410813819475,0.03469282492312456,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,enet,x4,noise,-0.06909069897456142,-0.06909069897456144,0.05810202072648082,-0.03576615309782459,-0.03350784085086524,0.022552354617782683,1.5881306028547015,1.9469655415835463,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,rf,x1,signal,-0.7779186755349784,-0.7779186755349784,-0.5377752247777149,-0.37003645404924573,-0.37980880545099377,-0.20661995871520103,1.5891543065109928,1.9419219536721344,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,rf,x2,trap,-0.08274652265894822,-0.0827465226589482,0.023218936380940015,-0.04184711642231091,-0.0406851537773825,0.009113254411065948,1.5891543065109928,1.9419219536721344,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,rf,x3,noise,-0.045441000477606505,-0.04544100047760641,0.011868916985735225,-0.024203829383083776,-0.02257872096125386,0.0046557684905030915,1.5891543065109928,1.9419219536721344,10,24,48,29.0,16.3
persistent_rho099_rolling20,115,rf,x4,noise,-0.07271865218392795,-0.07271865218392798,0.03470799620952749,-0.039309426892798906,-0.03630810572739696,0.013382706276310207,1.5891543065109928,1.9419219536721344,10,24,48,29.0,16.3
persistent_rho099_rolling20,116,ols,x1,signal,-0.8314873211120617,-0.8314873211120615,-1.0538946414396873,-0.3855573931518252,-0.38735413924000567,-0.41386844840467957,1.763488973214894,2.022614440534723,10,24,48,28.1,12.0
persistent_rho099_rolling20,116,ols,x2,trap,-0.07786805357856283,-0.07786805357856268,0.15689814642500466,-0.03576255966470164,-0.036664749559577166,0.06257766915384283,1.763488973214894,2.022614440534723,10,24,48,28.1,12.0
persistent_rho099_rolling20,116,ols,x3,noise,-0.08984455810659961,-0.08984455810659948,0.06784785343140905,-0.038616848289591846,-0.0405364881074723,0.028074179705709922,1.763488973214894,2.022614440534723,10,24,48,28.1,12.0
persistent_rho099_rolling20,116,ols,x4,noise,-0.07980698522398344,-0.07980698522398333,0.10310056099126226,-0.03696418850256493,-0.03607453766272547,0.03969877837180525,1.763488973214894,2.022614440534723,10,24,48,28.1,12.0
persistent_rho099_rolling20,116,enet,x1,signal,-0.8204350552868551,-0.820435055286855,-1.0162071964516939,-0.3780833383920084,-0.38033036237640166,-0.4093420902568841,1.7634889732148944,2.0226144405347224,10,24,48,28.1,12.0
persistent_rho099_rolling20,116,enet,x2,trap,-0.07289570450378924,-0.0728957045037892,0.07337237655887793,-0.03299049510356113,-0.03416238537029472,0.031042507740327532,1.7634889732148944,2.0226144405347224,10,24,48,28.1,12.0
