date,soc_ics,soc_ice,soc_icc
1968-02-01,97.200000000000003,94.299999999999997,101.59999999999999
1968-03-01,,,
1968-04-01,,,
1968-05-01,92.400000000000006,89.900000000000006,96.400000000000006
1968-06-01,,,
1968-07-01,,,
1968-08-01,92.400000000000006,89.599999999999994,96.799999999999997
1968-09-01,,,
1968-10-01,,,
1968-11-01,91.700000000000003,91.599999999999994,91.900000000000006
1968-12-01,,,
1969-01-01,,,
1969-02-01,98.200000000000003,98,98.299999999999997
1969-03-01,,,
1969-04-01,,,
1969-05-01,91.5,91.099999999999994,92.200000000000003
1969-06-01,,,
1969-07-01,,,
1969-08-01,86.400000000000006,86.599999999999994,86.200000000000003
1969-09-01,,,
1969-10-01,,,
1969-11-01,79.700000000000003,79.599999999999994,79.900000000000006
1969-12-01,,,
1970-01-01,,,
1970-02-01,78.099999999999994,75.799999999999997,81.599999999999994
1970-03-01,,,
1970-04-01,,,
1970-05-01,75.400000000000006,71.200000000000003,81.900000000000006
1970-06-01,,,
1970-07-01,,,
1970-08-01,77.599999999999994,75.700000000000003,80.599999999999994
1970-09-01,,,
1970-10-01,,,
1970-11-01,72.400000000000006,71.299999999999997,74
1970-12-01,,,
1971-01-01,,,
1971-02-01,78.099999999999994,75.900000000000006,81.700000000000003
1971-03-01,,,
1971-04-01,,,
1971-05-01,80.200000000000003,75.900000000000006,87
1971-06-01,,,
1971-07-01,,,
1971-08-01,82.099999999999994,78.400000000000006,87.799999999999997
1971-09-01,,,
1971-10-01,,,
1971-11-01,82,77.200000000000003,89.599999999999994
1971-12-01,,,
1972-01-01,,,
1972-02-01,92.799999999999997,90.900000000000006,95.700000000000003
1972-03-01,,,
1972-04-01,,,
1972-05-01,88.599999999999994,82.200000000000003,98.599999999999994
1972-06-01,,,
1972-07-01,,,
1972-08-01,95.200000000000003,91.299999999999997,101.2
1972-09-01,,,
1972-10-01,,,
1972-11-01,90.700000000000003,87.799999999999997,95.200000000000003
1972-12-01,,,
1973-01-01,,,
1973-02-01,81.900000000000006,73.299999999999997,95.099999999999994
1973-03-01,,,
1973-04-01,,,
1973-05-01,77,67.299999999999997,92
1973-06-01,,,
1973-07-01,,,
1973-08-01,72,63,85.900000000000006
1973-09-01,,,
1973-10-01,,,
1973-11-01,76.5,67.099999999999994,91
1973-12-01,,,
1974-01-01,,,
1974-02-01,61.799999999999997,49.399999999999999,81.099999999999994
1974-03-01,,,
1974-04-01,,,
1974-05-01,72.099999999999994,63.899999999999999,84.900000000000006
1974-06-01,,,
1974-07-01,,,
1974-08-01,64.400000000000006,57.600000000000001,75
1974-09-01,,,
1974-10-01,,,
1974-11-01,59.5,51.200000000000003,72.400000000000006
1974-12-01,,,
1975-01-01,,,
1975-02-01,57.600000000000001,50,69.299999999999997
1975-03-01,,,
1975-04-01,,,
1975-05-01,72.799999999999997,69.799999999999997,77.400000000000006
1975-06-01,,,
1975-07-01,,,
1975-08-01,75.700000000000003,70.700000000000003,83.5
1975-09-01,,,
1975-10-01,,,
1975-11-01,75.599999999999994,69.900000000000006,84.400000000000006
1975-12-01,,,
1976-01-01,,,
1976-02-01,84.599999999999994,81.200000000000003,89.900000000000006
1976-03-01,,,
1976-04-01,,,
1976-05-01,83.299999999999997,79.5,89.099999999999994
1976-06-01,,,
1976-07-01,,,
1976-08-01,89.700000000000003,85.5,96.200000000000003
1976-09-01,,,
1976-10-01,,,
1976-11-01,87,85.900000000000006,88.700000000000003
1976-12-01,,,
1977-01-01,,,
1977-02-01,87.099999999999994,84.200000000000003,91.599999999999994
1977-03-01,,,
1977-04-01,,,
1977-05-01,90.200000000000003,83.599999999999994,100.40000000000001
1977-06-01,,,
1977-07-01,,,
1977-08-01,89,81.5,100.8
1977-09-01,,,
1977-10-01,,,
1977-11-01,84.400000000000006,75.900000000000006,97.599999999999994
1977-12-01,,,
1978-01-01,83.700000000000003,75.700000000000003,96.200000000000003
1978-02-01,84.299999999999997,77.200000000000003,95.400000000000006
1978-03-01,78.799999999999997,69.5,93.200000000000003
1978-04-01,81.599999999999994,71.099999999999994,98
1978-05-01,82.900000000000006,73,98.200000000000003
1978-06-01,80,68.099999999999994,98.400000000000006
1978-07-01,82.400000000000006,72,98.700000000000003
1978-08-01,78.400000000000006,67,96.099999999999994
1978-09-01,80.400000000000006,69.799999999999997,96.900000000000006
1978-10-01,79.299999999999997,71.700000000000003,91.200000000000003
1978-11-01,75,62.799999999999997,94.099999999999994
1978-12-01,66.099999999999994,53.799999999999997,85.200000000000003
1979-01-01,72.099999999999994,58.399999999999999,93.299999999999997
1979-02-01,73.900000000000006,62.200000000000003,92.200000000000003
1979-03-01,68.400000000000006,53.700000000000003,91.200000000000003
1979-04-01,66,53.299999999999997,85.900000000000006
1979-05-01,68.099999999999994,54.899999999999999,88.700000000000003
1979-06-01,65.799999999999997,51.399999999999999,88.200000000000003
1979-07-01,60.399999999999999,44.200000000000003,85.700000000000003
1979-08-01,64.5,49.299999999999997,88.200000000000003
1979-09-01,66.700000000000003,53.600000000000001,87.099999999999994
1979-10-01,62.100000000000001,49.5,81.599999999999994
1979-11-01,63.299999999999997,52,80.900000000000006
1979-12-01,61,51.5,75.799999999999997
1980-01-01,67,54.100000000000001,87.099999999999994
1980-02-01,66.900000000000006,54.899999999999999,85.5
1980-03-01,56.5,44.299999999999997,75.299999999999997
1980-04-01,52.700000000000003,44.399999999999999,65.799999999999997
1980-05-01,51.700000000000003,45.299999999999997,61.700000000000003
1980-06-01,58.700000000000003,53,67.400000000000006
1980-07-01,62.299999999999997,53.399999999999999,76.099999999999994
1980-08-01,67.299999999999997,59.600000000000001,79.400000000000006
1980-09-01,73.700000000000003,67.900000000000006,82.700000000000003
1980-10-01,75,69.599999999999994,83.400000000000006
1980-11-01,76.700000000000003,76.900000000000006,76.400000000000006
1980-12-01,64.5,60.399999999999999,70.900000000000006
1981-01-01,71.400000000000006,67.900000000000006,76.700000000000003
1981-02-01,66.900000000000006,62.100000000000001,74.400000000000006
1981-03-01,66.5,62.100000000000001,73.5
1981-04-01,72.400000000000006,68.799999999999997,78.099999999999994
1981-05-01,76.299999999999997,73.599999999999994,80.400000000000006
1981-06-01,73.099999999999994,71.200000000000003,76.099999999999994
1981-07-01,74.099999999999994,67.099999999999994,84.900000000000006
1981-08-01,77.200000000000003,70.799999999999997,87.099999999999994
1981-09-01,73.099999999999994,69,79.5
1981-10-01,70.299999999999997,62.200000000000003,82.799999999999997
1981-11-01,62.5,56.299999999999997,72.099999999999994
1981-12-01,64.299999999999997,56.799999999999997,75.900000000000006
1982-01-01,71,62.899999999999999,83.5
1982-02-01,66.5,58.700000000000003,78.599999999999994
1982-03-01,62,53.100000000000001,75.900000000000006
1982-04-01,65.5,61.100000000000001,72.299999999999997
1982-05-01,67.5,62,76.099999999999994
1982-06-01,65.700000000000003,60.100000000000001,74.299999999999997
1982-07-01,65.400000000000006,57.600000000000001,77.5
1982-08-01,65.400000000000006,60.899999999999999,72.5
1982-09-01,69.299999999999997,66.900000000000006,72.900000000000006
1982-10-01,73.400000000000006,70.400000000000006,78.099999999999994
1982-11-01,72.099999999999994,71,73.799999999999997
1982-12-01,71.900000000000006,67.900000000000006,78.099999999999994
1983-01-01,70.400000000000006,65.200000000000003,78.400000000000006
1983-02-01,74.599999999999994,71.200000000000003,79.900000000000006
1983-03-01,80.799999999999997,80.900000000000006,80.5
1983-04-01,89.099999999999994,86.900000000000006,92.700000000000003
1983-05-01,93.299999999999997,93.400000000000006,93.099999999999994
1983-06-01,92.200000000000003,89.200000000000003,96.900000000000006
1983-07-01,92.799999999999997,90.5,96.5
1983-08-01,90.900000000000006,88.200000000000003,95.099999999999994
1983-09-01,89.900000000000006,85.799999999999997,96.400000000000006
1983-10-01,89.299999999999997,86.099999999999994,94.299999999999997
1983-11-01,91.099999999999994,87.900000000000006,96.099999999999994
1983-12-01,94.200000000000003,91,99.299999999999997
1984-01-01,100.09999999999999,97,104.90000000000001
1984-02-01,97.400000000000006,93.200000000000003,103.90000000000001
1984-03-01,101,97.700000000000003,106
1984-04-01,96.099999999999994,91.400000000000006,103.5
1984-05-01,98.099999999999994,90.599999999999994,109.8
1984-06-01,95.5,89.799999999999997,104.40000000000001
1984-07-01,96.599999999999994,91.900000000000006,103.90000000000001
1984-08-01,99.099999999999994,93.700000000000003,107.5
1984-09-01,100.90000000000001,96.400000000000006,107.8
1984-10-01,96.299999999999997,91.599999999999994,103.59999999999999
1984-11-01,95.700000000000003,91.5,102.40000000000001
1984-12-01,92.900000000000006,87.900000000000006,100.59999999999999
1985-01-01,96,90.299999999999997,104.90000000000001
1985-02-01,93.700000000000003,86.5,105.09999999999999
1985-03-01,93.700000000000003,87.299999999999997,103.7
1985-04-01,94.599999999999994,87,106.59999999999999
1985-05-01,91.799999999999997,84.200000000000003,103.7
1985-06-01,96.5,91.099999999999994,104.90000000000001
1985-07-01,94,87.400000000000006,104.3
1985-08-01,92.400000000000006,86.299999999999997,101.8
1985-09-01,92.099999999999994,84.200000000000003,104.3
1985-10-01,88.400000000000006,80.799999999999997,100.3
1985-11-01,90.900000000000006,84.5,100.7
1985-12-01,93.900000000000006,88.099999999999994,103.09999999999999
1986-01-01,95.599999999999994,85.299999999999997,111.8
1986-02-01,95.900000000000006,87.799999999999997,108.40000000000001
1986-03-01,95.099999999999994,86.900000000000006,107.90000000000001
1986-04-01,96.200000000000003,88.5,108.09999999999999
1986-05-01,94.799999999999997,87.5,106.2
1986-06-01,99.299999999999997,90.299999999999997,113.3
1986-07-01,97.700000000000003,88.5,112.09999999999999
1986-08-01,94.900000000000006,85.900000000000006,108.90000000000001
1986-09-01,91.900000000000006,81.299999999999997,108.3
1986-10-01,95.599999999999994,87.099999999999994,108.90000000000001
1986-11-01,91.400000000000006,81.599999999999994,106.7
1986-12-01,89.099999999999994,78.299999999999997,105.8
1987-01-01,90.400000000000006,80.900000000000006,105.09999999999999
1987-02-01,90.200000000000003,81.599999999999994,103.7
1987-03-01,90.799999999999997,83.299999999999997,102.5
1987-04-01,92.799999999999997,84.700000000000003,105.5
1987-05-01,91.099999999999994,80.599999999999994,107.40000000000001
1987-06-01,91.5,80.799999999999997,108.09999999999999
1987-07-01,93.700000000000003,83.299999999999997,109.90000000000001
1987-08-01,94.400000000000006,85.799999999999997,107.8
1987-09-01,93.599999999999994,84.200000000000003,108.3
1987-10-01,89.299999999999997,80.400000000000006,103.09999999999999
1987-11-01,83.099999999999994,72.700000000000003,99.299999999999997
1987-12-01,86.799999999999997,76.700000000000003,102.7
1988-01-01,90.799999999999997,80.900000000000006,106.2
1988-02-01,91.599999999999994,81.900000000000006,106.59999999999999
1988-03-01,94.599999999999994,85.200000000000003,109.09999999999999
1988-04-01,91.200000000000003,82.400000000000006,104.8
1988-05-01,94.799999999999997,87.299999999999997,106.5
1988-06-01,94.700000000000003,85.700000000000003,108.59999999999999
1988-07-01,93.400000000000006,82.299999999999997,110.7
1988-08-01,97.400000000000006,88.799999999999997,110.8
1988-09-01,97.299999999999997,89.5,109.40000000000001
1988-10-01,94.099999999999994,87,105
1988-11-01,93,86.299999999999997,103.3
1988-12-01,91.900000000000006,85.5,102
1989-01-01,97.900000000000006,89.900000000000006,110.3
1989-02-01,95.400000000000006,88.799999999999997,105.7
1989-03-01,94.299999999999997,87.599999999999994,104.8
1989-04-01,91.5,83.200000000000003,104.40000000000001
1989-05-01,90.700000000000003,80.099999999999994,107.09999999999999
1989-06-01,90.599999999999994,82,104.09999999999999
1989-07-01,92,85.5,102.09999999999999
1989-08-01,89.599999999999994,80.299999999999997,103.90000000000001
1989-09-01,95.799999999999997,88.599999999999994,107.09999999999999
1989-10-01,93.900000000000006,87.200000000000003,104.40000000000001
1989-11-01,90.900000000000006,84.299999999999997,101.2
1989-12-01,90.5,85.5,98.200000000000003
1990-01-01,93,83.400000000000006,108
1990-02-01,89.5,81.299999999999997,102.3
1990-03-01,91.299999999999997,81.299999999999997,106.90000000000001
1990-04-01,93.900000000000006,83.900000000000006,109.40000000000001
1990-05-01,90.599999999999994,79.299999999999997,108.09999999999999
1990-06-01,88.299999999999997,76.599999999999994,106.5
1990-07-01,88.200000000000003,77.299999999999997,105.09999999999999
1990-08-01,76.400000000000006,62.899999999999999,97.5
1990-09-01,72.799999999999997,58.799999999999997,94.700000000000003
1990-10-01,63.899999999999999,50.899999999999999,84.200000000000003
1990-11-01,66,52.799999999999997,86.700000000000003
1990-12-01,65.5,53.700000000000003,84
1991-01-01,66.799999999999997,55.200000000000003,84.900000000000006
1991-02-01,70.400000000000006,62,83.700000000000003
1991-03-01,87.700000000000003,84.5,92.700000000000003
1991-04-01,81.799999999999997,74.700000000000003,92.799999999999997
1991-05-01,78.299999999999997,71.5,89
1991-06-01,82.099999999999994,75.900000000000006,91.900000000000006
1991-07-01,82.900000000000006,74.400000000000006,96.099999999999994
1991-08-01,82,75.299999999999997,92.299999999999997
1991-09-01,83,76.400000000000006,93.200000000000003
1991-10-01,78.299999999999997,70.5,90.400000000000006
1991-11-01,69.099999999999994,61.899999999999999,80.299999999999997
1991-12-01,68.200000000000003,61.5,78.700000000000003
1992-01-01,67.5,59.100000000000001,80.5
1992-02-01,68.799999999999997,61.799999999999997,79.700000000000003
1992-03-01,76,70.299999999999997,84.900000000000006
1992-04-01,77.200000000000003,70.5,87.700000000000003
1992-05-01,79.200000000000003,71.200000000000003,91.5
1992-06-01,80.400000000000006,70.700000000000003,95.400000000000006
1992-07-01,76.599999999999994,67.599999999999994,90.599999999999994
1992-08-01,76.099999999999994,69.5,86.200000000000003
1992-09-01,75.599999999999994,67.400000000000006,88.299999999999997
