scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
break_b08_expanding,103,enet,119,0.1,2.423424582419385,1.5576364459862644,1.274266597463439,18.192297005698347,0.3262925388881638,2,True,True,False,True,True,-0.14246248537859918,0.642717,,,2.0,2,2,2.0,,
break_b08_expanding,103,rf,119,0.1,2.423424582419385,1.802417187836786,1.4444808961945235,19.85868166691466,0.43395583440019964,2,True,True,False,True,True,-0.1948949812686711,0.645721,,,,2,2,,2.0,2.0
break_b08_expanding,104,ols,119,0.0001,2.4454102093394274,1.5246943274912257,1.1823806117937705,22.451301190364344,0.2893637688283656,2,True,True,False,True,True,-0.08856516440458062,0.646987,2.0,2.0,2.0,2,2,,,
break_b08_expanding,104,enet,119,0.0001,2.4454102093394274,1.524580200010838,1.1823669154473422,22.44639439506449,0.2892685162164,2,True,True,False,True,True,-0.08853871456312445,0.645915,,,2.0,2,2,2.0,,
break_b08_expanding,104,rf,119,0.0001,2.4454102093394274,1.4964279359807784,1.2068707885159846,19.349889192960983,0.22476578082703555,2,True,True,False,True,True,-0.01568858859768385,0.561974,,,,2,2,,2.0,2.0
break_b08_expanding,105,ols,119,0.0001,1.8748220974550796,1.1826873115978163,0.9088145108437299,23.156822438898317,0.21191147409762798,2,True,True,False,True,True,0.33712308766043697,0.374649,2.0,2.0,2.0,2,2,,,
break_b08_expanding,105,enet,119,0.0001,1.8748220974550796,1.182564571228893,0.908792295942669,23.150725292042736,0.21182605730726933,2,True,True,False,True,True,0.3371264819393337,0.370593,,,2.0,2,2,2.0,,
break_b08_expanding,105,rf,119,0.0001,1.8748220974550796,1.3350979704780344,1.024365067596057,23.27416487426154,0.24925048383221224,2,True,True,False,True,True,0.31214123608997735,0.375759,,,,2,2,,2.0,2.0
break_b08_expanding,106,ols,119,0.1,1.8560610487415208,1.7051206419836162,1.2227835927964723,28.287561437648616,0.5155505671106695,2,True,True,False,True,True,-0.31147558764880867,0.718361,2.0,2.0,2.0,2,2,,,
break_b08_expanding,106,enet,119,0.1,1.8560610487415208,1.5648365598423664,1.2068569043866753,22.876488487190777,0.3915142388680431,2,True,True,False,True,True,-0.29059427499907353,0.692768,,,2.0,2,2,2.0,,
break_b08_expanding,106,rf,119,0.1,1.8560610487415208,1.7292515064630514,1.3713457289592326,20.697149961480523,0.5046640834436649,2,True,True,False,True,True,0.2064797119118712,0.421269,,,,2,2,,2.0,2.0
break_b08_expanding,107,ols,119,0.1,2.1470303469598924,1.8546604698064537,1.3322343015561784,28.168291542052113,0.5252857210761159,2,True,True,False,True,True,0.2891630723264519,0.391188,2.0,2.0,2.0,2,2,,,
break_b08_expanding,107,enet,119,0.1,2.1470303469598924,1.7137652233847447,1.2792743402445037,25.352999186324173,0.4258976088527335,2,True,True,False,True,True,0.301200694976123,0.406645,,,2.0,2,2,2.0,,
break_b08_expanding,107,rf,119,0.1,2.1470303469598924,1.8182734619650387,1.4345037747804092,21.10626895306953,0.4330336895337408,2,True,True,False,True,True,0.3474232812419181,0.374645,,,,2,2,,2.0,2.0
break_b08_expanding,108,ols,119,0.0001,2.4306965795319875,1.4628908770119944,1.0431026480271777,28.695799227502796,0.3310811130679617,2,True,True,False,True,True,0.30706321653395163,0.375485,2.0,2.0,2.0,2,2,,,
break_b08_expanding,108,enet,119,0.0001,2.4306965795319875,1.4627695135326153,1.0431502842998108,28.686626659275685,0.33095107418210146,2,True,True,False,True,True,0.3070710049126312,0.375155,,,2.0,2,2,2.0,,
break_b08_expanding,108,rf,119,0.0001,2.4306965795319875,1.3277967814405482,1.2166155750374232,8.37336013742274,0.14816563009747707,2,True,False,False,True,True,0.30117829923854467,0.376019,,,,2,2,,2.0,2.0
