scenario,seed,model,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range,feature,enet_std_coef,enet_ape_abs_coef,rf_oob_vi,rf_ape
break_b15_expanding,116,ols,noise,0.017067394880675654,4,0.004230712513847594,0.0013644474265954146,near-zero,0.24539087808411744,0.0,0.008254795265407143,0.01751847778863241,0.0019089176489381571,0.051995177866352986,x3,,,,
break_b15_expanding,116,ols,noise,0.0187763342388823,3,0.0057273420167154275,0.0020086007003966198,near-zero,0.35282606895414664,0.0,0.011856433407023827,0.024655979468660168,0.00121696065847653,0.06798942207255808,x4,,,,
break_b15_expanding,117,ols,signal,0.6808272430095185,2,-0.7911940542688654,-0.2867267384003503,beneficial,14.243039177493436,1.0,0.5750928767731649,0.9548462893050164,2.137480153531937,3.1945612476006398,x1,,,,
break_b15_expanding,117,ols,trap,0.9425233123192244,1,1.4525253411832098,0.5124222939360037,harmful,13.428900273554476,1.0,0.5403236088180678,1.077198245656383,2.040487865156371,3.047518497484159,x2,,,,
break_b15_expanding,117,ols,noise,0.1053394610229241,3,0.04619071661828052,0.015655405807733513,harmful,1.6806714274775134,0.3109243697478992,0.06803849160671996,0.12654786147248492,0.03137573802104919,0.40805189217326976,x3,,,,
break_b15_expanding,117,ols,noise,0.015992023839605192,4,0.008877306821818717,0.003234312741397291,near-zero,0.30809088092324105,0.0,0.012428544456791429,0.02398489970737117,0.0015745927812470589,0.0787201921544938,x4,,,,
break_b15_expanding,118,ols,signal,0.8259820750801223,2,-1.0900837338227714,-0.3706834142373067,beneficial,11.989543957209946,1.0,0.507326806492169,0.9465467706586448,1.5366291558413925,2.6466654775575384,x1,,,,
break_b15_expanding,118,ols,trap,0.9704506847264308,1,1.715974463523929,0.5760204072796862,harmful,14.715633592397607,1.0,0.6185901636721546,1.1257410143089954,2.411623814957108,3.6833210100378047,x2,,,,
break_b15_expanding,118,ols,noise,0.04354087537270532,3,-0.00022975934846023892,0.00010967432965286906,near-zero,0.8178194228414828,0.0,0.034175792405216114,0.06341443082146303,0.00671939600696272,0.1712900884802107,x3,,,,
break_b15_expanding,118,ols,noise,0.01813376229926832,4,0.005400369112107826,0.0018192472863440392,near-zero,0.29810716786763103,0.0,0.012586946392419049,0.02177505468204693,0.001751045013640882,0.07956407885700598,x4,,,,
