dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,xgboost,x2,3,-1.5331148848191538,0.028972657352494373,-1.5555941993197522,-1.5029609894373925
friedman1,rolling,xgboost,x2,6,-1.52109994167508,0.020423509851064142,-1.5415478813640757,-1.497705965980898
friedman1,rolling,xgboost,x2,8,-1.5188566088056996,0.008308991586686838,-1.5264294579387585,-1.5109783833862325
friedman1,rolling,xgboost,x2,12,-1.5084935582792736,0.009674754746759131,-1.5187803561047146,-1.4985396505901298
friedman1,rolling,xgboost,x2,18,-1.519961837445822,0.017605542731336205,-1.5350936599217258,-1.5080591680416768
friedman1,rolling,xgboost,x2,30,-1.5209972203592987,0.009800200136526284,-1.5262076824753477,-1.5133813206733175
friedman1,rolling,xgboost,x2,40,-1.5183388997163063,0.0037262548342926966,-1.5215741169835013,-1.5152263223491853
friedman1,rolling,xgboost,x2,60,-1.5178753326493724,0.005343616948650391,-1.5223911775978054,-1.5138055792699903
friedman1,rolling,xgboost,x2,80,-1.5193448094787754,0.0025666559948721514,-1.5213527379270553,-1.517228537193507
friedman1,rolling,xgboost,x2,100,-1.5188855978352427,0.006589193030168691,-1.5243899638684226,-1.5124364452430639
friedman1,rolling,xgboost,x2,200,-1.5162858262992553,0.0035004460458983614,-1.520431878690516,-1.5133697806117234
friedman1,rolling,xgboost,x2,500,-1.5180953057796733,0.0014313971908071783,-1.518733349266404,-1.5172454316400017
friedman1,rolling,xgboost,x2,1000,-1.5176118123347329,0.0015345261154505847,-1.5183340666288188,-1.517424756822908
friedman1,rolling,xgboost,x3,3,-0.022117528350861976,0.0012266996990571279,-0.023239069226931582,-0.021517966632567474
friedman1,rolling,xgboost,x3,6,-0.022091887128650213,0.0007287152689522889,-0.022738965867586544,-0.021464483414812163
friedman1,rolling,xgboost,x3,8,-0.022039359856903935,0.0008238114596776047,-0.022899255519998392,-0.021552919207741866
friedman1,rolling,xgboost,x3,12,-0.02232828379055805,0.0006169450689969189,-0.0231438275532249,-0.02197795808514947
friedman1,rolling,xgboost,x3,18,-0.02199648469257019,0.0006531698857510093,-0.02248007703335734,-0.021406083821354116
friedman1,rolling,xgboost,x3,30,-0.022103512354538613,0.00046161144878643,-0.022459232412374745,-0.021933544991153076
friedman1,rolling,xgboost,x3,40,-0.022056023029073973,0.00045751500936629764,-0.02240519775755781,-0.02171682948843387
friedman1,rolling,xgboost,x3,60,-0.02208546166030252,0.0003150952308564419,-0.0223781385237907,-0.021713736527431284
friedman1,rolling,xgboost,x3,80,-0.0221289022579146,0.00012040454617864717,-0.0222179004127039,-0.02200670151134856
friedman1,rolling,xgboost,x3,100,-0.022173359908720526,0.00017109605785266775,-0.022316901231582954,-0.022023109402496566
friedman1,rolling,xgboost,x3,200,-0.022157223859312375,0.00012156070726821007,-0.022295263898979886,-0.022049940139519754
friedman1,rolling,xgboost,x3,500,-0.02214084306111392,8.929225131891013e-05,-0.022228682246474406,-0.02204357003041613
friedman1,rolling,xgboost,x3,1000,-0.022080006562563946,3.622423371135996e-05,-0.02211251096833086,-0.02203724327641704
friedman1,rolling,xgboost,x4,3,-0.23209390322432283,0.021945880850911054,-0.2596955079387079,-0.2103353165429936
friedman1,rolling,xgboost,x4,6,-0.24726480349467544,0.015703901484312454,-0.2643890369343578,-0.23616215969442794
friedman1,rolling,xgboost,x4,8,-0.2392664757017483,0.007066841232348928,-0.24513442133955532,-0.23298409605089548
friedman1,rolling,xgboost,x4,12,-0.2405757491876799,0.012712505454220953,-0.24908998429449153,-0.22599275606853542
friedman1,rolling,xgboost,x4,18,-0.23519480513676091,0.011528457886688456,-0.24556265981604816,-0.22280520133915627
friedman1,rolling,xgboost,x4,30,-0.232219443901193,0.007219497332122768,-0.23953154301244228,-0.22535896331221933
friedman1,rolling,xgboost,x4,40,-0.23746808745595066,0.007875359371651049,-0.24440763342218652,-0.22947853655796338
friedman1,rolling,xgboost,x4,60,-0.2348696557621523,0.006358806800758169,-0.24028145508383747,-0.22698751894401703
friedman1,rolling,xgboost,x4,80,-0.23582513792579193,0.004772701455077483,-0.24071125801288248,-0.23145591400751445
friedman1,rolling,xgboost,x4,100,-0.2369265453272951,0.004865857029943977,-0.2407055520223007,-0.23258867796186905
friedman1,rolling,xgboost,x4,200,-0.23874665466534625,0.002118443615278211,-0.2411087455350633,-0.23733411994665346
friedman1,rolling,xgboost,x4,500,-0.2369486694841889,0.0009746028877754674,-0.23796953735640614,-0.23625208000470926
friedman1,rolling,xgboost,x4,1000,-0.23684332420299886,0.0005697617126338817,-0.2372870092144254,-0.23624892433764222
friedman1,rolling,xgboost,x5,3,-0.03979303435817896,0.009223002083824483,-0.049167382785691716,-0.0284996324096971
friedman1,rolling,xgboost,x5,6,-0.036761105289137515,0.0028816701013022654,-0.03883728192427099,-0.03444305413552539
friedman1,rolling,xgboost,x5,8,-0.03809685854064309,0.00396542591344209,-0.04157732823030945,-0.03468067081595472
friedman1,rolling,xgboost,x5,12,-0.0366990902696126,0.0046695026598814,-0.041408693888289286,-0.03253393960872775
friedman1,rolling,xgboost,x5,18,-0.03704064723318625,0.0038613489721682306,-0.040500902103229,-0.032825152044184694
friedman1,rolling,xgboost,x5,30,-0.03517019964947722,0.0030289384928178626,-0.03691781499199638,-0.032368170225461776
friedman1,rolling,xgboost,x5,40,-0.03587034565207206,0.002635074516165484,-0.03749101114817715,-0.0325787596000842
friedman1,rolling,xgboost,x5,60,-0.03757378602741772,0.0019275370234079856,-0.039338784347438524,-0.03563630990915573
friedman1,rolling,xgboost,x5,80,-0.035539777449111305,0.0012602171199341719,-0.03717653636558446,-0.03448099375172934
