dgp,window,model,predictor,M,mean,std,q_low,q_high
threshold,expanding,rf,x1,3,-0.6734125899989876,0.0012098187780899493,-0.6747059936689919,-0.6724968697832397
threshold,expanding,rf,x1,6,-0.6741783835418366,0.0012956493325649266,-0.6756355607188067,-0.6729429535568725
threshold,expanding,rf,x1,8,-0.67397046816651,0.0007960164919964391,-0.6747449473429754,-0.6735312367867955
threshold,expanding,rf,x1,12,-0.673708390922682,0.00041488162809764494,-0.6741161673136994,-0.673277213553739
threshold,expanding,rf,x1,18,-0.6737723468490088,0.0005973645736826817,-0.6744121354684844,-0.6731155871404582
threshold,expanding,rf,x1,30,-0.673974858355887,0.0005873875225297318,-0.6743189732528512,-0.673424463463822
threshold,expanding,rf,x1,40,-0.6741632236712728,0.00032857384227874244,-0.6744388233069026,-0.6738183422479652
threshold,expanding,rf,x1,60,-0.6738717523653599,0.00045215338134532815,-0.6743672012346923,-0.6734983918225748
threshold,expanding,rf,x1,80,-0.6740244381641941,0.00020997523488902324,-0.6742167926709204,-0.6738003401629097
threshold,expanding,rf,x1,100,-0.6739964478591212,0.00030355792734577676,-0.6742153821216962,-0.6738134537892988
threshold,expanding,rf,x1,200,-0.6740978733293193,0.00018528487906129055,-0.6743095136624014,-0.6739223888893306
threshold,expanding,rf,x1,500,-0.6739627030773234,7.508343250359803e-05,-0.6740177233159907,-0.6738839915332936
threshold,expanding,rf,x1,1000,-0.6739891970463779,9.675339353219067e-05,-0.6740744535996037,-0.673912305996073
threshold,expanding,rf,x2,3,-1.3593773344436362,0.0015991297634346847,-1.360452761329543,-1.3581503918907183
threshold,expanding,rf,x2,6,-1.360316875860605,0.0014169092106261262,-1.3610130629810908,-1.3591760825184656
threshold,expanding,rf,x2,8,-1.3600232137859005,0.00041714576980347656,-1.3604602996798598,-1.359671244874106
threshold,expanding,rf,x2,12,-1.3604775697495823,0.000487463830498888,-1.3608357907704351,-1.3601368994706664
threshold,expanding,rf,x2,18,-1.3600763047075404,0.00021567508675456078,-1.360137527462319,-1.3599511058210696
threshold,expanding,rf,x2,30,-1.3601577077687603,0.0006298054254981132,-1.3607537902737745,-1.3595794170243785
