dgp,window,model,predictor,M,mean,std,q_low,q_high
polynomial,expanding,rf,x1,3,-0.6430889052893501,0.009274224803896336,-0.6532389078246739,-0.6330775701420586
polynomial,expanding,rf,x1,6,-0.6434407556481779,0.0031070748225964884,-0.6469457597714425,-0.6426191399654834
polynomial,expanding,rf,x1,8,-0.6434507694771414,0.005445654003942557,-0.6454873213660404,-0.641470771583728
polynomial,expanding,rf,x1,12,-0.6443876966819579,0.0054559727723315545,-0.6502944343357607,-0.6401688792631711
polynomial,expanding,rf,x1,18,-0.6424650498097058,0.003424646749769233,-0.6460824225695232,-0.6393022372076003
polynomial,expanding,rf,x1,30,-0.6429377362088504,0.001972232336552484,-0.6447653500569224,-0.6410714205389723
polynomial,expanding,rf,x1,40,-0.6428841743824409,0.0032322098237755766,-0.6453595539382888,-0.6394459806852887
polynomial,expanding,rf,x1,60,-0.6424639344182433,0.002658290697466618,-0.6454548171246021,-0.639928632871109
polynomial,expanding,rf,x1,80,-0.6438565957436053,0.0012085193796408816,-0.645015434308638,-0.6424399448778363
polynomial,expanding,rf,x1,100,-0.6419487713167255,0.0016230029088784726,-0.6435698195986249,-0.6405870811505237
polynomial,expanding,rf,x1,200,-0.6431578320558855,0.0017552561309565476,-0.6449219771821917,-0.6413445949764409
polynomial,expanding,rf,x1,500,-0.642754536312922,0.0003552331657438204,-0.6430304086947969,-0.6423873909017821
polynomial,expanding,rf,x1,1000,-0.6429833522111674,0.0002688892340051839,-0.6432343722414767,-0.642790823239317
polynomial,expanding,rf,x2,3,-0.40898794146558304,0.01096026636754564,-0.41888713924163073,-0.4002537609132185
polynomial,expanding,rf,x2,6,-0.40759448120089903,0.003846402489545866,-0.40918114290712726,-0.40357204413261344
polynomial,expanding,rf,x2,8,-0.40778269740597506,0.004019998484600853,-0.4109149181741672,-0.4038727369700704
polynomial,expanding,rf,x2,12,-0.40615447848659647,0.007216647270722695,-0.4109460814226892,-0.3992418055581806
polynomial,expanding,rf,x2,18,-0.41052592097578544,0.0028298024998317916,-0.4126296694226659,-0.4077027443531125
polynomial,expanding,rf,x2,30,-0.4093818753812935,0.0021902156411253548,-0.41092146820670117,-0.4070800496505379
polynomial,expanding,rf,x2,40,-0.40941254980764313,0.0033331272409089607,-0.41222408424527146,-0.40613007431448495
polynomial,expanding,rf,x2,60,-0.40965320529978533,0.002357361964297907,-0.41149698770150533,-0.4081049372527113
polynomial,expanding,rf,x2,80,-0.4079920127190173,0.0009240601979271282,-0.4088149872585049,-0.40742025374212076
polynomial,expanding,rf,x2,100,-0.40941126612733214,0.001788021701182529,-0.4108993778031176,-0.4084606419491773
polynomial,expanding,rf,x2,200,-0.4083536131088573,0.001227165227700765,-0.4094441180026363,-0.40729408403473105
polynomial,expanding,rf,x2,500,-0.40880300431532346,0.0005246257850460136,-0.409294640021585,-0.40821770717163414
polynomial,expanding,rf,x2,1000,-0.40916270423089335,0.000360489828098726,-0.40941113960798853,-0.4089056594708824
polynomial,expanding,rf,x3,3,-1.0796863610707956,0.011174856993474222,-1.0900174473664455,-1.070566840097488
polynomial,expanding,rf,x3,6,-1.0803553653129863,0.005024164103193622,-1.0843806482457294,-1.075357754660033
polynomial,expanding,rf,x3,8,-1.0802606290623453,0.004520404982973113,-1.0857806822541667,-1.0775931201960598
polynomial,expanding,rf,x3,12,-1.080906838879715,0.004680362649105775,-1.084757717566594,-1.0778515015012233
polynomial,expanding,rf,x3,18,-1.078680075286611,0.004787386980685475,-1.081669178971647,-1.0741812210747956
polynomial,expanding,rf,x3,30,-1.0794991520760868,0.002450375825511512,-1.0816572670222,-1.0786603481904342
polynomial,expanding,rf,x3,40,-1.079293381007414,0.003501653082513432,-1.0812966668035313,-1.0752645863981678
polynomial,expanding,rf,x3,60,-1.0795473760599974,0.0020198659264902726,-1.081430666474597,-1.0781191364912817
polynomial,expanding,rf,x3,80,-1.0798107419929028,0.0008844720964842098,-1.080846753231021,-1.0789001453220874
polynomial,expanding,rf,x3,100,-1.0803231967496267,0.0013595775483115267,-1.080928328672951,-1.0786756598786227
polynomial,expanding,rf,x3,200,-1.0801877579029133,0.0012357596000792514,-1.0811666511016091,-1.0793254404495511
polynomial,expanding,rf,x3,500,-1.0801170388015282,0.0006502946106206839,-1.0806630160270156,-1.0793419420915087
polynomial,expanding,rf,x3,1000,-1.0794955357381948,0.0002319967558255097,-1.0796764750153731,-1.0793721446308326
polynomial,expanding,rf,x4,3,-0.00426336496042215,0.0001178782904854703,-0.004356895831204761,-0.004193703242628606
polynomial,expanding,rf,x4,6,-0.004471917141449057,0.0001230352553949171,-0.004582129955792337,-0.004355746385474004
polynomial,expanding,rf,x4,8,-0.004357356864424001,0.00016829731629245707,-0.004511275499907489,-0.004196079960823974
polynomial,expanding,rf,x4,12,-0.004368059999145431,9.828529287976437e-05,-0.004436441423318612,-0.00432829619815216
polynomial,expanding,rf,x4,18,-0.004256143766073978,7.504366933710934e-05,-0.004305945000048587,-0.004185621426529962
polynomial,expanding,rf,x4,30,-0.0042166161007198355,5.551868462531019e-05,-0.004273889741989711,-0.004190010101783827
polynomial,expanding,rf,x4,40,-0.004319614944678677,6.817723298697286e-05,-0.004387347920849938,-0.0042650208063503125
polynomial,expanding,rf,x4,60,-0.00426957364015385,4.0547054347202204e-05,-0.00429777084416233,-0.0042323659416351606
polynomial,expanding,rf,x4,80,-0.004290492415558393,4.7393541472025446e-05,-0.004312818080857674,-0.004241561055393508
polynomial,expanding,rf,x4,100,-0.004305056560930222,4.152258576299926e-05,-0.004341412662151265,-0.004252177777456545
polynomial,expanding,rf,x4,200,-0.0043066881888368476,3.201687866142193e-05,-0.004332898186363033,-0.004283697784475241
polynomial,expanding,rf,x4,500,-0.004297278997252676,2.441024283895826e-05,-0.004324608047000623,-0.004282776534649685
polynomial,expanding,rf,x4,1000,-0.004312587126332044,7.966106399760408e-06,-0.004316362215575514,-0.004309358036780412
