dgp,window,model,predictor,M,mean,std,q_low,q_high
threshold,rolling,xgboost,x2,500,-1.2130378004915694,0.00031151816297009884,-1.2133015428321294,-1.2127451068826964
threshold,rolling,xgboost,x2,1000,-1.212943389928049,0.00026777965509189083,-1.213085633021347,-1.2127064356969846
threshold,rolling,xgboost,x3,3,-0.009651116504231245,0.0009190375851428017,-0.010349192915075668,-0.008623693331747354
threshold,rolling,xgboost,x3,6,-0.009162597554412191,0.0007690443133798224,-0.009804670806501967,-0.008284368034691857
threshold,rolling,xgboost,x3,8,-0.00960284131977326,0.0006918605574798505,-0.009893505429545535,-0.009280378718035578
threshold,rolling,xgboost,x3,12,-0.009528308017049068,0.0004049437234842524,-0.009905308050389508,-0.00903745743296424
threshold,rolling,xgboost,x3,18,-0.009639213953055465,0.0005876948027161206,-0.010296983985901004,-0.009044913982364192
threshold,rolling,xgboost,x3,30,-0.009705638419029283,0.00029558411374601645,-0.010007315780981062,-0.00953232282909845
threshold,rolling,xgboost,x3,40,-0.00975088766142742,0.00016611492144615967,-0.00988552144053652,-0.009614442129214074
threshold,rolling,xgboost,x3,60,-0.009566346336527278,0.0001873037305340359,-0.0097381250757829,-0.009421975268801026
threshold,rolling,xgboost,x3,80,-0.00961030883138515,0.000131598898085264,-0.009671587362382536,-0.009508925397542296
threshold,rolling,xgboost,x3,100,-0.009568154220977875,0.00016313281615746328,-0.009739523162156575,-0.009394335952028961
threshold,rolling,xgboost,x3,200,-0.0096083055828687,0.00014920240407897777,-0.009735562864319636,-0.009487238391025589
threshold,rolling,xgboost,x3,500,-0.00959369344781605,7.692992192262827e-05,-0.009618532470844378,-0.009554591076520704
threshold,rolling,xgboost,x3,1000,-0.009577470794994603,5.7742181342643996e-05,-0.009631254288738516,-0.009510100929320872
threshold,rolling,xgboost,x4,3,0.019046354525143906,0.0037356305476084865,0.01547762066747396,0.023422072594365892
threshold,rolling,xgboost,x4,6,0.02106482658614488,0.0022491235054567515,0.019002316968068384,0.023292849128444038
threshold,rolling,xgboost,x4,8,0.019791466113481024,0.0012333021895567149,0.01852700469933202,0.020575745394976405
threshold,rolling,xgboost,x4,12,0.020049636354271868,0.0022050351407090834,0.017682847135497635,0.021232340986366557
threshold,rolling,xgboost,x4,18,0.01941086838223266,0.001815923611384405,0.017614749883602895,0.02069226761686997
threshold,rolling,xgboost,x4,30,0.018789667773114183,0.0009740188175967381,0.01804859872699404,0.0196429908112006
threshold,rolling,xgboost,x4,40,0.01952402218374552,0.0012887480548627278,0.018510457167806547,0.02064197969498764
threshold,rolling,xgboost,x4,60,0.019096272735322505,0.0009532843465984422,0.018137573414091994,0.019953956568487204
threshold,rolling,xgboost,x4,80,0.01921598593273615,0.0007907417655201184,0.018422209381760424,0.02005123422712041
threshold,rolling,xgboost,x4,100,0.019380921126575024,0.0008354554415442787,0.018691450028595603,0.019970562128812316
threshold,rolling,xgboost,x4,200,0.01966967693434995,0.0003938040206183825,0.019256700805618546,0.020050837839589945
threshold,rolling,xgboost,x4,500,0.019436957347209186,0.0001628438082823535,0.019322986699852933,0.019585458603518496
threshold,rolling,xgboost,x4,1000,0.019388999328929776,0.00011333976509187898,0.019260383422052826,0.01945256823493971
threshold,rolling,xgboost,x5,3,-0.05589625428127448,0.0015745220884561496,-0.05736577597129888,-0.05487890546878138
threshold,rolling,xgboost,x5,6,-0.056701871824761524,0.0004150982448336523,-0.057153013440752354,-0.056371051624711836
threshold,rolling,xgboost,x5,8,-0.056485442682121585,0.0006937355830852915,-0.056909678340710826,-0.05582777603791525
threshold,rolling,xgboost,x5,12,-0.0567446335312299,0.0006983455612957818,-0.05729780220439526,-0.05609356695463539
threshold,rolling,xgboost,x5,18,-0.05657907687533498,0.0005463250931707955,-0.05718528856301222,-0.056109402923021495
threshold,rolling,xgboost,x5,30,-0.05653649394321099,0.000336547444322153,-0.056855496767861315,-0.05624319040226227
threshold,rolling,xgboost,x5,40,-0.056734217271552125,0.0002773052733431861,-0.05699074596322948,-0.05642380629961909
threshold,rolling,xgboost,x5,60,-0.05653957239715881,0.00033778538577041654,-0.056919690175787116,-0.056214113880602566
threshold,rolling,xgboost,x5,80,-0.05666969334184953,0.0001436559510105793,-0.056792521426728734,-0.05659826998580899
threshold,rolling,xgboost,x5,100,-0.056577446031315926,0.00025641327869097496,-0.05684225424222278,-0.05642238384612347
threshold,rolling,xgboost,x5,200,-0.056655233406652294,0.00020579745206337094,-0.05684728995837945,-0.05643519537683608
threshold,rolling,xgboost,x5,500,-0.056754492446841706,9.25888815635592e-05,-0.05681006533659993,-0.056684255345892456
threshold,rolling,xgboost,x5,1000,-0.05666849958053636,6.91716491581792e-05,-0.05671957431182071,-0.05663246199111084
threshold,rolling,xgboost,x6,3,0.003382807697759967,0.001915746081250809,0.0022775888053257393,0.005075094351901252
threshold,rolling,xgboost,x6,6,0.0049549873460062455,0.0017311382228316645,0.0037105774628248523,0.0065356139597611725
threshold,rolling,xgboost,x6,8,0.0050642872672104,0.0015753848952040374,0.003659792536971518,0.006540536475733384
threshold,rolling,xgboost,x6,12,0.004525233263793509,0.001389321539368097,0.0037051057331833263,0.0060616542030550195
threshold,rolling,xgboost,x6,18,0.0046378429095541235,0.0006351116863450703,0.004173222074611756,0.004988318528890083
threshold,rolling,xgboost,x6,30,0.005566410812380484,0.0004386052480249081,0.0050007949593488255,0.0058532602933631
threshold,rolling,xgboost,x6,40,0.005007070524805921,0.0007352771478935639,0.004455768286019545,0.0056917935198039366
threshold,rolling,xgboost,x6,60,0.004859749202503892,0.00042325941570087476,0.004466958741488895,0.005149782786465327
threshold,rolling,xgboost,x6,80,0.0051138177101160585,0.00032560354044777057,0.005007768083384634,0.005330476824309203
threshold,rolling,xgboost,x6,100,0.0048728081352715676,0.00042587647986772406,0.004575730717197805,0.005087175575989272
threshold,rolling,xgboost,x6,200,0.005112338720997325,0.0001821661160007591,0.004962551222609243,0.005274361450789444
threshold,rolling,xgboost,x6,500,0.005022705374097056,0.00018104892032962819,0.00480678824203258,0.005188069391846565
threshold,rolling,xgboost,x6,1000,0.005017153194508046,0.00011160460980790596,0.004946406989163034,0.005095531870982845
