dgp,window,model,predictor,M,replicate,pbsv
friedman1,rolling,enet,x2,6,3,-1.4286393358686864
friedman1,rolling,enet,x3,6,3,0.014127637407877166
friedman1,rolling,enet,x4,6,3,-0.24694528855828626
friedman1,rolling,enet,x5,6,3,-0.04164856823683447
friedman1,rolling,enet,x6,6,3,-0.008610968704275542
friedman1,rolling,rf,x1,6,3,-1.3708816394947885
friedman1,rolling,rf,x2,6,3,-1.371618773711955
friedman1,rolling,rf,x3,6,3,-0.011462928537258518
friedman1,rolling,rf,x4,6,3,-0.10612493132112248
friedman1,rolling,rf,x5,6,3,-0.01595755150902776
friedman1,rolling,rf,x6,6,3,-0.0028819458400082265
friedman1,rolling,xgboost,x1,6,3,-1.458985795198559
friedman1,rolling,xgboost,x2,6,3,-1.520268691145492
friedman1,rolling,xgboost,x3,6,3,-0.023477192585290057
friedman1,rolling,xgboost,x4,6,3,-0.23585244764133048
friedman1,rolling,xgboost,x5,6,3,-0.038745180264753376
friedman1,rolling,xgboost,x6,6,3,-0.006303079611743072
friedman1,rolling,enet,x1,6,4,-1.2951724538178315
friedman1,rolling,enet,x2,6,4,-1.4403524961973277
friedman1,rolling,enet,x3,6,4,0.014343404561982928
friedman1,rolling,enet,x4,6,4,-0.2492298084237515
friedman1,rolling,enet,x5,6,4,-0.03776040646871729
friedman1,rolling,enet,x6,6,4,-0.009470684381974384
friedman1,rolling,rf,x1,6,4,-1.3619376869963553
friedman1,rolling,rf,x2,6,4,-1.3819694964254736
friedman1,rolling,rf,x3,6,4,-0.010987656730939674
friedman1,rolling,rf,x4,6,4,-0.1063295207061824
friedman1,rolling,rf,x5,6,4,-0.014802392041208071
friedman1,rolling,rf,x6,6,4,-0.0029010175140010697
friedman1,rolling,xgboost,x1,6,4,-1.4386870152111075
friedman1,rolling,xgboost,x2,6,4,-1.5424777495293067
friedman1,rolling,xgboost,x3,6,4,-0.021749090030107342
friedman1,rolling,xgboost,x4,6,4,-0.23843338141714274
friedman1,rolling,xgboost,x5,6,4,-0.035241998594965275
friedman1,rolling,xgboost,x6,6,4,-0.007043151664538653
friedman1,rolling,enet,x1,6,5,-1.2955039161764887
friedman1,rolling,enet,x2,6,5,-1.4459002685720341
friedman1,rolling,enet,x3,6,5,0.013968388183034771
friedman1,rolling,enet,x4,6,5,-0.23993280637792647
friedman1,rolling,enet,x5,6,5,-0.03999178906531584
friedman1,rolling,enet,x6,6,5,-0.010282052718889267
friedman1,rolling,rf,x1,6,5,-1.3695152004034894
friedman1,rolling,rf,x2,6,5,-1.379963709650906
friedman1,rolling,rf,x3,6,5,-0.010430488961710357
friedman1,rolling,rf,x4,6,5,-0.10082896768225591
friedman1,rolling,rf,x5,6,5,-0.015029521807858048
friedman1,rolling,rf,x6,6,5,-0.003159881907940513
friedman1,rolling,xgboost,x1,6,5,-1.4518546079120576
friedman1,rolling,xgboost,x2,6,5,-1.5419013451284835
friedman1,rolling,xgboost,x3,6,5,-0.021425673421817365
friedman1,rolling,xgboost,x4,6,5,-0.22337659546762315
friedman1,rolling,xgboost,x5,6,5,-0.03731003965844173
friedman1,rolling,xgboost,x6,6,5,-0.0077641248587450125
friedman1,rolling,enet,x1,6,6,-1.3118946252507737
friedman1,rolling,enet,x2,6,6,-1.40547552998699
friedman1,rolling,enet,x3,6,6,0.014254297336891578
friedman1,rolling,enet,x4,6,6,-0.2607173507829554
friedman1,rolling,enet,x5,6,6,-0.04624787131826232
friedman1,rolling,enet,x6,6,6,-0.007561364725529596
friedman1,rolling,rf,x1,6,6,-1.3725139339132968
friedman1,rolling,rf,x2,6,6,-1.3597704892566496
friedman1,rolling,rf,x3,6,6,-0.010993943515391957
friedman1,rolling,rf,x4,6,6,-0.11683790149637914
friedman1,rolling,rf,x5,6,6,-0.016454306202977737
friedman1,rolling,rf,x6,6,6,-0.002357196029464973
friedman1,rolling,xgboost,x1,6,6,-1.4652638912857012
friedman1,rolling,xgboost,x2,6,6,-1.4892876547105824
friedman1,rolling,xgboost,x3,6,6,-0.022004219241287187
friedman1,rolling,xgboost,x4,6,6,-0.2605498766312171
friedman1,rolling,xgboost,x5,6,6,-0.041637809263355696
friedman1,rolling,xgboost,x6,6,6,-0.004888935315024452
friedman1,rolling,enet,x1,6,7,-1.2934680012599402
friedman1,rolling,enet,x2,6,7,-1.42569605082725
friedman1,rolling,enet,x3,6,7,0.014338388042250941
friedman1,rolling,enet,x4,6,7,-0.2679511785940348
friedman1,rolling,enet,x5,6,7,-0.034991637674461305
friedman1,rolling,enet,x6,6,7,-0.009873964414184236
friedman1,rolling,rf,x1,6,7,-1.3618808702484977
friedman1,rolling,rf,x2,6,7,-1.3715145582426451
friedman1,rolling,rf,x3,6,7,-0.01073712138201153
friedman1,rolling,rf,x4,6,7,-0.11735869615202006
friedman1,rolling,rf,x5,6,7,-0.014579759569598857
friedman1,rolling,rf,x6,6,7,-0.002856764819387051
friedman1,rolling,xgboost,x1,6,7,-1.4377512581412732
friedman1,rolling,xgboost,x2,6,7,-1.517637675754192
friedman1,rolling,xgboost,x3,6,7,-0.021295119656173405
friedman1,rolling,xgboost,x4,6,7,-0.2666363056665013
friedman1,rolling,xgboost,x5,6,7,-0.03294149941920488
friedman1,rolling,xgboost,x6,6,7,-0.0073705278098235944
friedman1,rolling,enet,x1,8,0,-1.3244048981534724
friedman1,rolling,enet,x2,8,0,-1.4163502261483008
friedman1,rolling,enet,x3,8,0,0.014653639605545207
friedman1,rolling,enet,x4,8,0,-0.2506331087655971
friedman1,rolling,enet,x5,8,0,-0.03190533613751012
friedman1,rolling,enet,x6,8,0,-0.00900251512828426
friedman1,rolling,rf,x1,8,0,-1.377637542728888
friedman1,rolling,rf,x2,8,0,-1.365644268974441
friedman1,rolling,rf,x3,8,0,-0.010945551312328577
friedman1,rolling,rf,x4,8,0,-0.10844816778990726
friedman1,rolling,rf,x5,8,0,-0.013579457015554713
friedman1,rolling,rf,x6,8,0,-0.00267278259304031
friedman1,rolling,xgboost,x1,8,0,-1.4791657144189145
friedman1,rolling,xgboost,x2,8,0,-1.5037753833091165
friedman1,rolling,xgboost,x3,8,0,-0.020824348493010125
friedman1,rolling,xgboost,x4,8,0,-0.24244800991272122
friedman1,rolling,xgboost,x5,8,0,-0.03099008583807314
friedman1,rolling,xgboost,x6,8,0,-0.006428844475332804
friedman1,rolling,enet,x1,8,1,-1.2988012409079137
friedman1,rolling,enet,x2,8,1,-1.4249780977989124
friedman1,rolling,enet,x3,8,1,0.014073241943754297
friedman1,rolling,enet,x4,8,1,-0.2539999122730309
friedman1,rolling,enet,x5,8,1,-0.04528756610280596
friedman1,rolling,enet,x6,8,1,-0.008648869588711
friedman1,rolling,rf,x1,8,1,-1.3659710057798458
friedman1,rolling,rf,x2,8,1,-1.3707378327405828
friedman1,rolling,rf,x3,8,1,-0.01074928436152335
friedman1,rolling,rf,x4,8,1,-0.11233657872442948
friedman1,rolling,rf,x5,8,1,-0.016461872445596368
friedman1,rolling,rf,x6,8,1,-0.002671196362182396
friedman1,rolling,xgboost,x1,8,1,-1.44734716890087
friedman1,rolling,xgboost,x2,8,1,-1.5166850204925977
friedman1,rolling,xgboost,x3,8,1,-0.021777844158545133
friedman1,rolling,xgboost,x4,8,1,-0.2503064415628977
friedman1,rolling,xgboost,x5,8,1,-0.04108964107957569
friedman1,rolling,xgboost,x6,8,1,-0.006426270252682026
friedman1,rolling,enet,x1,8,2,-1.3038428537999396
friedman1,rolling,enet,x2,8,2,-1.4330805347073468
friedman1,rolling,enet,x3,8,2,0.014266570117717842
friedman1,rolling,enet,x4,8,2,-0.24242958812300833
friedman1,rolling,enet,x5,8,2,-0.042437374460906604
friedman1,rolling,enet,x6,8,2,-0.010118663754135976
friedman1,rolling,rf,x1,8,2,-1.3697190102820969
friedman1,rolling,rf,x2,8,2,-1.3748147761598326
friedman1,rolling,rf,x3,8,2,-0.010861854168724802
friedman1,rolling,rf,x4,8,2,-0.1048422728840284
friedman1,rolling,rf,x5,8,2,-0.015525998868993154
friedman1,rolling,rf,x6,8,2,-0.0031638580504844555
friedman1,rolling,xgboost,x1,8,2,-1.456658474292432
friedman1,rolling,xgboost,x2,8,2,-1.527197744499552
