dgp,window,model,predictor,M,replicate,pbsv
threshold,rolling,xgboost,x4,6,5,0.018038268564378363
threshold,rolling,xgboost,x5,6,5,-0.05644449624700465
threshold,rolling,xgboost,x6,6,5,0.0023153556451942503
threshold,rolling,enet,x1,6,6,0.024028589236257097
threshold,rolling,enet,x2,6,6,-0.5116698820461096
threshold,rolling,enet,x3,6,6,0.00292525579668849
threshold,rolling,enet,x4,6,6,0.02731286527756538
threshold,rolling,enet,x5,6,6,-0.004914297508673189
threshold,rolling,enet,x6,6,6,0.020843236582616703
threshold,rolling,rf,x1,6,6,-0.6328695387742628
threshold,rolling,rf,x2,6,6,-1.202313262995613
threshold,rolling,rf,x3,6,6,-0.0027347313732094536
threshold,rolling,rf,x4,6,6,0.007495079926602144
threshold,rolling,rf,x5,6,6,-0.018017702273134522
threshold,rolling,rf,x6,6,6,-0.004077238325742398
threshold,rolling,xgboost,x1,6,6,-0.6862069947022422
threshold,rolling,xgboost,x2,6,6,-1.2197517179442945
threshold,rolling,xgboost,x3,6,6,-0.007802060004305759
threshold,rolling,xgboost,x4,6,6,0.023778451928859523
threshold,rolling,xgboost,x5,6,6,-0.05718565789093503
threshold,rolling,xgboost,x6,6,6,0.0077047845286298084
threshold,rolling,enet,x1,6,7,0.023970446657812006
threshold,rolling,enet,x2,6,7,-0.5115110173372867
threshold,rolling,enet,x3,6,7,0.0029399422360472474
threshold,rolling,enet,x4,6,7,0.027318543781240694
threshold,rolling,enet,x5,6,7,-0.0049579266054467315
threshold,rolling,enet,x6,6,7,0.020765778605978207
threshold,rolling,rf,x1,6,7,-0.6372944256281731
threshold,rolling,rf,x2,6,7,-1.2017066736685023
threshold,rolling,rf,x3,6,7,-0.0005439962070923713
threshold,rolling,rf,x4,6,7,0.00804582282915319
threshold,rolling,rf,x5,6,7,-0.018110922936162083
threshold,rolling,rf,x6,6,7,-0.0029071982045832576
threshold,rolling,xgboost,x1,6,7,-0.6875686399332178
threshold,rolling,xgboost,x2,6,7,-1.2120980534723425
threshold,rolling,xgboost,x3,6,7,-0.009836366957140444
threshold,rolling,xgboost,x4,6,7,0.02300381712089979
threshold,rolling,xgboost,x5,6,7,-0.05723014010978256
threshold,rolling,xgboost,x6,6,7,0.004266189267295384
threshold,rolling,enet,x1,8,0,0.02402915700169908
threshold,rolling,enet,x2,8,0,-0.5115741495712218
threshold,rolling,enet,x3,8,0,0.002955215799429173
threshold,rolling,enet,x4,8,0,0.027269481372521498
threshold,rolling,enet,x5,8,0,-0.004934347804435857
threshold,rolling,enet,x6,8,0,0.02078041054035268
threshold,rolling,rf,x1,8,0,-0.6359792486233546
threshold,rolling,rf,x2,8,0,-1.2010318435005571
threshold,rolling,rf,x3,8,0,-0.0006788930253194825
threshold,rolling,rf,x4,8,0,0.00664837829682291
threshold,rolling,rf,x5,8,0,-0.017943631713466912
threshold,rolling,rf,x6,8,0,-0.0035321552494848862
threshold,rolling,xgboost,x1,8,0,-0.6850140745228009
threshold,rolling,xgboost,x2,8,0,-1.2147858568513514
threshold,rolling,xgboost,x3,8,0,-0.009246383061512237
