dgp,window,model,predictor,M,replicate,pbsv
polynomial,rolling,rf,x1,8,0,-0.5632893644576112
polynomial,rolling,rf,x2,8,0,-0.3631639292153731
polynomial,rolling,rf,x3,8,0,-1.0252841840409617
polynomial,rolling,rf,x4,8,0,-0.0008736014471449893
polynomial,rolling,rf,x5,8,0,-0.0021605319326304107
polynomial,rolling,rf,x6,8,0,0.0014141512212466067
polynomial,rolling,xgboost,x1,8,0,-0.8868545617345499
polynomial,rolling,xgboost,x2,8,0,-0.5253314108604964
polynomial,rolling,xgboost,x3,8,0,-1.393607472390251
polynomial,rolling,xgboost,x4,8,0,0.00024343083937233834
polynomial,rolling,xgboost,x5,8,0,0.0006336562175124072
polynomial,rolling,xgboost,x6,8,0,0.007102990469776499
polynomial,rolling,enet,x1,8,1,0.00847953403532642
polynomial,rolling,enet,x2,8,1,0.028353750741629352
polynomial,rolling,enet,x3,8,1,-1.0320444103866493
polynomial,rolling,enet,x4,8,1,0.003604651728931374
polynomial,rolling,enet,x5,8,1,0.0033108168083193223
polynomial,rolling,enet,x6,8,1,0.010696757529795764
polynomial,rolling,rf,x1,8,1,-0.5574536625743317
polynomial,rolling,rf,x2,8,1,-0.36641277228943725
polynomial,rolling,rf,x3,8,1,-1.0276254297726959
polynomial,rolling,rf,x4,8,1,-0.0010491933187173341
polynomial,rolling,rf,x5,8,1,-0.002120582607763627
polynomial,rolling,rf,x6,8,1,0.0013041806904710296
polynomial,rolling,xgboost,x1,8,1,-0.8566228009402213
polynomial,rolling,xgboost,x2,8,1,-0.5471065503431944
polynomial,rolling,xgboost,x3,8,1,-1.402228079204655
polynomial,rolling,xgboost,x4,8,1,0.00013711696997850686
polynomial,rolling,xgboost,x5,8,1,0.001328806299925489
polynomial,rolling,xgboost,x6,8,1,0.0066781397595306324
polynomial,rolling,enet,x1,8,2,0.008682386892690713
polynomial,rolling,enet,x2,8,2,0.02839314933212006
polynomial,rolling,enet,x3,8,2,-1.0320805258755041
polynomial,rolling,enet,x4,8,2,0.0033853366385554196
polynomial,rolling,enet,x5,8,2,0.0033221003587801945
polynomial,rolling,enet,x6,8,2,0.01069865311071061
polynomial,rolling,rf,x1,8,2,-0.559860388830546
polynomial,rolling,rf,x2,8,2,-0.3650625658560787
polynomial,rolling,rf,x3,8,2,-1.0273511792397225
polynomial,rolling,rf,x4,8,2,-0.00025611129118788267
polynomial,rolling,rf,x5,8,2,-0.0020637371116637437
polynomial,rolling,rf,x6,8,2,0.001236522456724204
polynomial,rolling,xgboost,x1,8,2,-0.8662248909382746
polynomial,rolling,xgboost,x2,8,2,-0.5350177425921967
polynomial,rolling,xgboost,x3,8,2,-1.4050214238218686
polynomial,rolling,xgboost,x4,8,2,-0.0007526934351760883
polynomial,rolling,xgboost,x5,8,2,0.0008312932450993127
polynomial,rolling,xgboost,x6,8,2,0.00837209008378062
polynomial,rolling,enet,x1,8,3,0.008579655563309363
polynomial,rolling,enet,x2,8,3,0.028372676192621432
polynomial,rolling,enet,x3,8,3,-1.032133576376777
polynomial,rolling,enet,x4,8,3,0.0035772575662201267
polynomial,rolling,enet,x5,8,3,0.003319210917281712
polynomial,rolling,enet,x6,8,3,0.010685876594697358
polynomial,rolling,rf,x1,8,3,-0.5595145970408717
polynomial,rolling,rf,x2,8,3,-0.3647902138795034
polynomial,rolling,rf,x3,8,3,-1.0273135383740826
polynomial,rolling,rf,x4,8,3,-0.000807589336136727
polynomial,rolling,rf,x5,8,3,-0.002177250937668851
polynomial,rolling,rf,x6,8,3,0.0012457296957884834
polynomial,rolling,xgboost,x1,8,3,-0.8664802844827038
polynomial,rolling,xgboost,x2,8,3,-0.5346624708619752
polynomial,rolling,xgboost,x3,8,3,-1.4040404125409713
polynomial,rolling,xgboost,x4,8,3,-0.0007289703074467857
polynomial,rolling,xgboost,x5,8,3,0.0010899188758638767
polynomial,rolling,xgboost,x6,8,3,0.007008851858597204
polynomial,rolling,enet,x1,8,4,0.00842722033693663
polynomial,rolling,enet,x2,8,4,0.02838883853055471
polynomial,rolling,enet,x3,8,4,-1.0320391641889732
polynomial,rolling,enet,x4,8,4,0.0035776007996875248
polynomial,rolling,enet,x5,8,4,0.0033378280418910056
polynomial,rolling,enet,x6,8,4,0.010708776937256193
polynomial,rolling,rf,x1,8,4,-0.5593016107814025
polynomial,rolling,rf,x2,8,4,-0.3649590652375214
polynomial,rolling,rf,x3,8,4,-1.02772354828463
polynomial,rolling,rf,x4,8,4,-0.0006406986959336669
polynomial,rolling,rf,x5,8,4,-0.002058907596327181
polynomial,rolling,rf,x6,8,4,0.00132637072334027
polynomial,rolling,xgboost,x1,8,4,-0.866761723640907
polynomial,rolling,xgboost,x2,8,4,-0.5351753669967092
polynomial,rolling,xgboost,x3,8,4,-1.4025905387070776
polynomial,rolling,xgboost,x4,8,4,-0.00041253525109913314
polynomial,rolling,xgboost,x5,8,4,0.0008149691673753623
polynomial,rolling,xgboost,x6,8,4,0.006311827969781331
polynomial,rolling,enet,x1,8,5,0.008507586175329318
polynomial,rolling,enet,x2,8,5,0.028390034981004758
polynomial,rolling,enet,x3,8,5,-1.0320725610538763
polynomial,rolling,enet,x4,8,5,0.0034748997017318983
polynomial,rolling,enet,x5,8,5,0.003363532174003314
polynomial,rolling,enet,x6,8,5,0.010737608479160138
polynomial,rolling,rf,x1,8,5,-0.5543712527844579
polynomial,rolling,rf,x2,8,5,-0.3683389092537305
polynomial,rolling,rf,x3,8,5,-1.0297705848020533
polynomial,rolling,rf,x4,8,5,-0.00015698527487451042
polynomial,rolling,rf,x5,8,5,-0.0020401204936522643
polynomial,rolling,rf,x6,8,5,0.0013203927362937518
polynomial,rolling,xgboost,x1,8,5,-0.8328264975565489
polynomial,rolling,xgboost,x2,8,5,-0.5581262779679009
polynomial,rolling,xgboost,x3,8,5,-1.4120169714114064
polynomial,rolling,xgboost,x4,8,5,-0.0004575913526900788
polynomial,rolling,xgboost,x5,8,5,-0.00022205074260814306
polynomial,rolling,xgboost,x6,8,5,0.005836021572518391
polynomial,rolling,enet,x1,8,6,0.00840657072796322
polynomial,rolling,enet,x2,8,6,0.02838235021612795
polynomial,rolling,enet,x3,8,6,-1.0319041150974277
polynomial,rolling,enet,x4,8,6,0.0035074628700068056
polynomial,rolling,enet,x5,8,6,0.003291153370958644
polynomial,rolling,enet,x6,8,6,0.01071767836972412
polynomial,rolling,rf,x1,8,6,-0.5576128997579879
polynomial,rolling,rf,x2,8,6,-0.36315031625352195
polynomial,rolling,rf,x3,8,6,-1.0312562617137733
polynomial,rolling,rf,x4,8,6,-0.0005617897960684959
polynomial,rolling,rf,x5,8,6,-0.0021565346820933973
polynomial,rolling,rf,x6,8,6,0.0013803423309702578
polynomial,rolling,xgboost,x1,8,6,-0.8552106765920036
polynomial,rolling,xgboost,x2,8,6,-0.5256124592320128
polynomial,rolling,xgboost,x3,8,6,-1.4239071462793564
polynomial,rolling,xgboost,x4,8,6,-0.0014326406526671276
polynomial,rolling,xgboost,x5,8,6,0.0009131074329550848
polynomial,rolling,xgboost,x6,8,6,0.007436447864448831
polynomial,rolling,enet,x1,8,7,0.008612611264434772
polynomial,rolling,enet,x2,8,7,0.028378512847483717
polynomial,rolling,enet,x3,8,7,-1.032052219859
polynomial,rolling,enet,x4,8,7,0.0033534059895005686
polynomial,rolling,enet,x5,8,7,0.0033877635660198024
polynomial,rolling,enet,x6,8,7,0.010721026648914167
polynomial,rolling,rf,x1,8,7,-0.5581213549619282
polynomial,rolling,rf,x2,8,7,-0.3632785113041561
polynomial,rolling,rf,x3,8,7,-1.0313200896798003
polynomial,rolling,rf,x4,8,7,6.927103693432635e-06
polynomial,rolling,rf,x5,8,7,-0.0020023398330480113
